kanji,level
一,0.0
右,0.0
雨,0.0
円,0.0
王,0.0
音,0.0
下,0.0
火,0.0
花,0.0
貝,0.0
学,0.0
気,0.0
九,0.0
休,0.0
玉,0.0
金,0.0
空,0.0
月,0.0
犬,0.0
見,0.0
五,0.0
口,0.0
校,0.0
左,0.0
三,0.0
山,0.0
子,0.0
四,0.0
糸,0.0
字,0.0
耳,0.0
七,0.0
車,0.0
手,0.0
十,0.0
出,0.0
女,0.0
小,0.0
上,0.0
森,0.0
人,0.0
水,0.0
正,0.0
生,0.0
青,0.0
夕,0.0
石,0.0
赤,0.0
千,0.0
川,0.0
先,0.0
早,0.0
草,0.0
足,0.0
村,0.0
大,0.0
男,0.0
竹,0.0
中,0.0
虫,0.0
町,0.0
天,0.0
田,0.0
土,0.0
二,0.0
日,0.0
入,0.0
年,0.0
白,0.0
八,0.0
百,0.0
文,0.0
木,0.0
本,0.0
名,0.0
目,0.0
立,0.0
力,0.0
林,0.0
六,0.0
引,0.1111111111111111
羽,0.1111111111111111
雲,0.1111111111111111
園,0.1111111111111111
遠,0.1111111111111111
何,0.1111111111111111
科,0.1111111111111111
夏,0.1111111111111111
家,0.1111111111111111
歌,0.1111111111111111
画,0.1111111111111111
回,0.1111111111111111
会,0.1111111111111111
海,0.1111111111111111
絵,0.1111111111111111
外,0.1111111111111111
角,0.1111111111111111
楽,0.1111111111111111
活,0.1111111111111111
間,0.1111111111111111
丸,0.1111111111111111
岩,0.1111111111111111
顔,0.1111111111111111
汽,0.1111111111111111
記,0.1111111111111111
帰,0.1111111111111111
弓,0.1111111111111111
牛,0.1111111111111111
魚,0.1111111111111111
京,0.1111111111111111
強,0.1111111111111111
教,0.1111111111111111
近,0.1111111111111111
兄,0.1111111111111111
形,0.1111111111111111
計,0.1111111111111111
元,0.1111111111111111
言,0.1111111111111111
原,0.1111111111111111
戸,0.1111111111111111
古,0.1111111111111111
午,0.1111111111111111
後,0.1111111111111111
語,0.1111111111111111
工,0.1111111111111111
公,0.1111111111111111
広,0.1111111111111111
交,0.1111111111111111
光,0.1111111111111111
考,0.1111111111111111
行,0.1111111111111111
高,0.1111111111111111
黄,0.1111111111111111
合,0.1111111111111111
谷,0.1111111111111111
国,0.1111111111111111
黒,0.1111111111111111
今,0.1111111111111111
才,0.1111111111111111
細,0.1111111111111111
作,0.1111111111111111
算,0.1111111111111111
止,0.1111111111111111
市,0.1111111111111111
矢,0.1111111111111111
姉,0.1111111111111111
思,0.1111111111111111
紙,0.1111111111111111
寺,0.1111111111111111
自,0.1111111111111111
時,0.1111111111111111
室,0.1111111111111111
社,0.1111111111111111
弱,0.1111111111111111
首,0.1111111111111111
秋,0.1111111111111111
週,0.1111111111111111
春,0.1111111111111111
書,0.1111111111111111
少,0.1111111111111111
場,0.1111111111111111
色,0.1111111111111111
食,0.1111111111111111
心,0.1111111111111111
新,0.1111111111111111
親,0.1111111111111111
図,0.1111111111111111
数,0.1111111111111111
西,0.1111111111111111
声,0.1111111111111111
星,0.1111111111111111
晴,0.1111111111111111
切,0.1111111111111111
雪,0.1111111111111111
船,0.1111111111111111
線,0.1111111111111111
前,0.1111111111111111
組,0.1111111111111111
走,0.1111111111111111
多,0.1111111111111111
太,0.1111111111111111
体,0.1111111111111111
台,0.1111111111111111
地,0.1111111111111111
池,0.1111111111111111
知,0.1111111111111111
茶,0.1111111111111111
昼,0.1111111111111111
長,0.1111111111111111
鳥,0.1111111111111111
朝,0.1111111111111111
直,0.1111111111111111
通,0.1111111111111111
弟,0.1111111111111111
店,0.1111111111111111
点,0.1111111111111111
電,0.1111111111111111
刀,0.1111111111111111
冬,0.1111111111111111
当,0.1111111111111111
東,0.1111111111111111
答,0.1111111111111111
頭,0.1111111111111111
同,0.1111111111111111
道,0.1111111111111111
読,0.1111111111111111
内,0.1111111111111111
南,0.1111111111111111
肉,0.1111111111111111
馬,0.1111111111111111
売,0.1111111111111111
買,0.1111111111111111
麦,0.1111111111111111
半,0.1111111111111111
番,0.1111111111111111
父,0.1111111111111111
風,0.1111111111111111
分,0.1111111111111111
聞,0.1111111111111111
米,0.1111111111111111
歩,0.1111111111111111
母,0.1111111111111111
方,0.1111111111111111
北,0.1111111111111111
毎,0.1111111111111111
妹,0.1111111111111111
万,0.1111111111111111
明,0.1111111111111111
鳴,0.1111111111111111
毛,0.1111111111111111
門,0.1111111111111111
夜,0.1111111111111111
野,0.1111111111111111
友,0.1111111111111111
用,0.1111111111111111
曜,0.1111111111111111
来,0.1111111111111111
里,0.1111111111111111
理,0.1111111111111111
話,0.1111111111111111
悪,0.2222222222222222
安,0.2222222222222222
暗,0.2222222222222222
医,0.2222222222222222
委,0.2222222222222222
意,0.2222222222222222
育,0.2222222222222222
員,0.2222222222222222
院,0.2222222222222222
飲,0.2222222222222222
運,0.2222222222222222
泳,0.2222222222222222
駅,0.2222222222222222
央,0.2222222222222222
横,0.2222222222222222
屋,0.2222222222222222
温,0.2222222222222222
化,0.2222222222222222
荷,0.2222222222222222
界,0.2222222222222222
開,0.2222222222222222
階,0.2222222222222222
寒,0.2222222222222222
感,0.2222222222222222
漢,0.2222222222222222
館,0.2222222222222222
岸,0.2222222222222222
起,0.2222222222222222
期,0.2222222222222222
客,0.2222222222222222
究,0.2222222222222222
急,0.2222222222222222
級,0.2222222222222222
宮,0.2222222222222222
球,0.2222222222222222
去,0.2222222222222222
橋,0.2222222222222222
業,0.2222222222222222
曲,0.2222222222222222
局,0.2222222222222222
銀,0.2222222222222222
区,0.2222222222222222
苦,0.2222222222222222
