,0,1,label
0,-9.5622835,-13.449481,-0.26886916521887594
1,-4.3257556,-3.3715734,-0.26886916521887594
2,-6.3196025,-6.1378765,-0.26886916521887594
3,-1.156255,-2.134256,-0.26886916521887594
4,-14.981514,5.522723,-0.26886916521887594
5,-1.5124838,-0.2570336,-0.26886916521887594
6,-6.27862,-5.414613,-0.26886916521887594
7,-1.1549985,-52.534157,3.38992649910126
8,-1.3355019,-1.8324095,-0.26886916521887594
9,2.5588908,-47.339504,-0.26886916521887594
10,-6.0990357,0.76786447,-0.26886916521887594
11,-0.8728553,-0.71055984,-0.26886916521887594
12,-3.9933555,-0.5397781,-0.26886916521887594
13,-2.8792584,0.5242824,-0.26886916521887594
14,-11.549123,3.3745031,-0.26886916521887594
15,-7.6900544,2.5527205,-0.26886916521887594
16,-5.3958535,-3.6862655,-0.26886916521887594
17,-6.0742345,-0.80495214,-0.26886916521887594
18,-6.271359,-6.7849174,-0.26886916521887594
19,-0.3169812,-7.69837,-0.26886916521887594
20,-4.4034057,-1.8120042,-0.26886916521887594
21,0.56406283,-2.7708294,-0.26886916521887594
22,-0.14166616,-34.20809,-0.26886916521887594
23,0.28108972,-6.416972,-0.26886916521887594
24,19.551414,-175.47234,-0.26886916521887594
25,-1.0110977,-11.434123,-0.26886916521887594
26,-4.1538563,-1.47025,-0.26886916521887594
27,-4.206869,-1.2265748,-0.26886916521887594
28,-1.6490784,0.43147826,-0.26886916521887594
29,-2.9472487,2.1709044,-0.26886916521887594
30,0.37116307,-1.1583542,-0.26886916521887594
31,-13.900022,-21.841915,-0.26886916521887594
32,-24.165947,7.012891,-0.26886916521887594
33,-111.744354,-173.6773,-0.26886916521887594
34,-3.7259276,-1.8355964,-0.26886916521887594
35,-2.2167475,-92.4617,-0.26886916521887594
36,-5.640234,0.92176604,-0.26886916521887594
37,0.7449105,-30.04529,-0.26886916521887594
38,-1.2252308,4.210161,-0.26886916521887594
39,-5.109345,-0.10974516,-0.26886916521887594
40,-1.6266482,0.8049176,-0.26886916521887594
41,14.604944,-139.73874,-0.26886916521887594
42,9.602963,-164.86838,-0.26886916521887594
43,0.31533322,-1.0087081,-0.26886916521887594
44,-6.712301,-7.0226545,-0.26886916521887594
